Year	Fremont Bridge East Sidewalk	Fremont Bridge West Sidewalk
2.016326923076923094e+03	2.361400000000000000e+04	2.332400000000000000e+04
2.016346153846153811e+03	2.235400000000000000e+04	2.241400000000000000e+04
2.016365384615384528e+03	2.884800000000000000e+04	2.851400000000000000e+04
2.016384615384615472e+03	2.841200000000000000e+04	2.890000000000000000e+04
2.016403846153846189e+03	2.388200000000000000e+04	2.450200000000000000e+04
2.016423076923076906e+03	2.143400000000000000e+04	2.312200000000000000e+04
2.016442307692307622e+03	2.588600000000000000e+04	2.611400000000000000e+04
2.016461538461538566e+03	2.468000000000000000e+04	2.644000000000000000e+04
2.016480769230769283e+03	2.122600000000000000e+04	2.362400000000000000e+04
2.016500000000000000e+03	2.234400000000000000e+04	2.447000000000000000e+04
2.016519230769230717e+03	2.426800000000000000e+04	2.689600000000000000e+04
2.016538461538461434e+03	2.069400000000000000e+04	2.311200000000000000e+04
2.016557692307692378e+03	2.447000000000000000e+04	2.710600000000000000e+04
2.016576923076923094e+03	2.301200000000000000e+04	2.484600000000000000e+04
2.016596153846153811e+03	2.523600000000000000e+04	2.790400000000000000e+04
2.016615384615384528e+03	2.307600000000000000e+04	2.549800000000000000e+04
2.016634615384615472e+03	2.311000000000000000e+04	2.712800000000000000e+04
2.016653846153846189e+03	2.354200000000000000e+04	2.747200000000000000e+04
2.016673076923076906e+03	2.299000000000000000e+04	2.730200000000000000e+04
2.016692307692307622e+03	1.943800000000000000e+04	2.240800000000000000e+04
2.016711538461538566e+03	1.809600000000000000e+04	2.038800000000000000e+04
2.016730769230769283e+03	2.165400000000000000e+04	2.607200000000000000e+04
2.016750000000000000e+03	1.995200000000000000e+04	2.371800000000000000e+04
2.016769230769230717e+03	2.133400000000000000e+04	2.522000000000000000e+04
2.016788461538461434e+03	1.603400000000000000e+04	1.938200000000000000e+04
2.016807692307692378e+03	1.326800000000000000e+04	1.608600000000000000e+04
2.016826923076923094e+03	1.533400000000000000e+04	1.798800000000000000e+04
2.016846153846153811e+03	1.454600000000000000e+04	1.740800000000000000e+04
2.016865384615384528e+03	1.448000000000000000e+04	1.762400000000000000e+04
2.016884615384615472e+03	1.562800000000000000e+04	1.926600000000000000e+04
2.016903846153846189e+03	1.369000000000000000e+04	1.760600000000000000e+04
2.016923076923076906e+03	7.986000000000000000e+03	9.914000000000000000e+03
2.016942307692307622e+03	1.324600000000000000e+04	1.575200000000000000e+04
2.016961538461538566e+03	7.446000000000000000e+03	9.498000000000000000e+03
2.016980769230769283e+03	9.216000000000000000e+03	1.207200000000000000e+04
2.017000000000000000e+03	6.996000000000000000e+03	8.730000000000000000e+03
2.017019230769230717e+03	5.498000000000000000e+03	6.468000000000000000e+03
2.017038461538461434e+03	7.610000000000000000e+03	9.186000000000000000e+03
2.017057692307692378e+03	9.882000000000000000e+03	1.170400000000000000e+04
2.017076923076923094e+03	9.310000000000000000e+03	1.179800000000000000e+04
2.017096153846153811e+03	1.310200000000000000e+04	1.586000000000000000e+04
2.017115384615384528e+03	1.045800000000000000e+04	1.310000000000000000e+04
2.017134615384615472e+03	7.544000000000000000e+03	9.284000000000000000e+03
2.017153846153846189e+03	1.191200000000000000e+04	1.517200000000000000e+04
2.017173076923076906e+03	9.168000000000000000e+03	1.186000000000000000e+04
2.017192307692307622e+03	9.548000000000000000e+03	1.230400000000000000e+04
2.017211538461538566e+03	9.768000000000000000e+03	1.261000000000000000e+04
2.017230769230769283e+03	1.131200000000000000e+04	1.417200000000000000e+04
2.017250000000000000e+03	1.218600000000000000e+04	1.586400000000000000e+04
2.017269230769230717e+03	1.386200000000000000e+04	1.729400000000000000e+04
2.017288461538461434e+03	1.365600000000000000e+04	1.706400000000000000e+04
2.017307692307692378e+03	1.377200000000000000e+04	1.752400000000000000e+04
2.017326923076923094e+03	1.480000000000000000e+04	1.897600000000000000e+04
2.017346153846153811e+03	1.574800000000000000e+04	1.987000000000000000e+04
2.017365384615384528e+03	1.987600000000000000e+04	2.401800000000000000e+04
2.017384615384615472e+03	1.982800000000000000e+04	2.572000000000000000e+04
2.017403846153846189e+03	2.177400000000000000e+04	2.659600000000000000e+04
2.017423076923076906e+03	2.601800000000000000e+04	3.358800000000000000e+04
2.017442307692307622e+03	1.978000000000000000e+04	2.463400000000000000e+04
2.017461538461538566e+03	2.248200000000000000e+04	2.839800000000000000e+04
2.017480769230769283e+03	1.805800000000000000e+04	2.407200000000000000e+04
2.017500000000000000e+03	2.324000000000000000e+04	3.022000000000000000e+04
2.017519230769230717e+03	2.350000000000000000e+04	3.080400000000000000e+04
2.017538461538461434e+03	2.213000000000000000e+04	2.867000000000000000e+04
2.017557692307692378e+03	2.403800000000000000e+04	3.175800000000000000e+04
2.017576923076923094e+03	2.372800000000000000e+04	3.274800000000000000e+04
2.017596153846153811e+03	2.368200000000000000e+04	3.238400000000000000e+04
2.017615384615384528e+03	2.248400000000000000e+04	3.119200000000000000e+04
2.017634615384615472e+03	2.245000000000000000e+04	3.338600000000000000e+04
2.017653846153846189e+03	2.279400000000000000e+04	3.123400000000000000e+04
2.017673076923076906e+03	2.147800000000000000e+04	2.989600000000000000e+04
2.017692307692307622e+03	2.149000000000000000e+04	2.945200000000000000e+04
2.017711538461538566e+03	1.766800000000000000e+04	2.346800000000000000e+04
2.017730769230769283e+03	2.125000000000000000e+04	3.035000000000000000e+04
2.017750000000000000e+03	1.717200000000000000e+04	2.344200000000000000e+04
2.017769230769230717e+03	1.985800000000000000e+04	2.690800000000000000e+04
2.017788461538461434e+03	1.895000000000000000e+04	2.700000000000000000e+04
2.017807692307692378e+03	1.576200000000000000e+04	2.262800000000000000e+04
2.017826923076923094e+03	1.256800000000000000e+04	1.775800000000000000e+04
2.017846153846153811e+03	1.802000000000000000e+04	2.522800000000000000e+04
2.017865384615384528e+03	1.381800000000000000e+04	2.041000000000000000e+04
2.017884615384615472e+03	1.239800000000000000e+04	1.826800000000000000e+04
2.017903846153846189e+03	1.158600000000000000e+04	1.696000000000000000e+04
2.017923076923076906e+03	6.884000000000000000e+03	9.416000000000000000e+03
2.017942307692307622e+03	1.133600000000000000e+04	1.671000000000000000e+04
2.017961538461538566e+03	1.245800000000000000e+04	1.802400000000000000e+04
2.017980769230769283e+03	1.099200000000000000e+04	1.617200000000000000e+04
2.018000000000000000e+03	7.370000000000000000e+03	1.066400000000000000e+04
2.018019230769230717e+03	4.128000000000000000e+03	5.114000000000000000e+03
2.018038461538461434e+03	9.472000000000000000e+03	1.356800000000000000e+04
2.018057692307692378e+03	1.181600000000000000e+04	1.639800000000000000e+04
2.018076923076923094e+03	1.065600000000000000e+04	1.570600000000000000e+04
2.018096153846153811e+03	9.938000000000000000e+03	1.485600000000000000e+04
2.018115384615384528e+03	1.098600000000000000e+04	1.576400000000000000e+04
2.018134615384615472e+03	1.322600000000000000e+04	1.872400000000000000e+04
2.018153846153846189e+03	1.120400000000000000e+04	1.633800000000000000e+04
2.018173076923076906e+03	6.754000000000000000e+03	1.013600000000000000e+04
2.018192307692307622e+03	1.135200000000000000e+04	1.619400000000000000e+04
2.018211538461538566e+03	1.501600000000000000e+04	2.047200000000000000e+04
2.018230769230769283e+03	1.600400000000000000e+04	2.269600000000000000e+04
2.018250000000000000e+03	1.348400000000000000e+04	1.984600000000000000e+04
2.018269230769230717e+03	1.387400000000000000e+04	1.986800000000000000e+04
2.018288461538461434e+03	1.334000000000000000e+04	1.892600000000000000e+04
2.018307692307692378e+03	1.131400000000000000e+04	1.654200000000000000e+04
2.018326923076923094e+03	1.694400000000000000e+04	2.362200000000000000e+04
2.018346153846153811e+03	2.104200000000000000e+04	2.982200000000000000e+04
2.018365384615384528e+03	2.303400000000000000e+04	3.216200000000000000e+04
2.018384615384615472e+03	2.387200000000000000e+04	3.311400000000000000e+04
2.018403846153846189e+03	2.592000000000000000e+04	3.512800000000000000e+04
2.018423076923076906e+03	2.483600000000000000e+04	3.560000000000000000e+04
2.018442307692307622e+03	2.097800000000000000e+04	2.892400000000000000e+04
2.018461538461538566e+03	2.007400000000000000e+04	2.898000000000000000e+04
2.018480769230769283e+03	2.092200000000000000e+04	3.149600000000000000e+04
2.018500000000000000e+03	2.377800000000000000e+04	3.558000000000000000e+04
2.018519230769230717e+03	2.062200000000000000e+04	3.146000000000000000e+04
2.018538461538461434e+03	2.260400000000000000e+04	3.107800000000000000e+04
2.018557692307692378e+03	2.444400000000000000e+04	3.550000000000000000e+04
2.018576923076923094e+03	2.404200000000000000e+04	3.500200000000000000e+04
2.018596153846153811e+03	2.399800000000000000e+04	3.604600000000000000e+04
2.018615384615384528e+03	2.226600000000000000e+04	3.290400000000000000e+04
2.018634615384615472e+03	2.328000000000000000e+04	3.718200000000000000e+04
2.018653846153846189e+03	2.084000000000000000e+04	3.123800000000000000e+04
2.018673076923076906e+03	1.355600000000000000e+04	2.089000000000000000e+04
2.018692307692307622e+03	1.975000000000000000e+04	2.943400000000000000e+04
2.018711538461538566e+03	1.883000000000000000e+04	2.855400000000000000e+04
2.018730769230769283e+03	1.626000000000000000e+04	2.439400000000000000e+04
2.018750000000000000e+03	1.844600000000000000e+04	2.764400000000000000e+04
2.018769230769230717e+03	2.012000000000000000e+04	3.037000000000000000e+04
2.018788461538461434e+03	1.522600000000000000e+04	2.365200000000000000e+04
2.018807692307692378e+03	1.713000000000000000e+04	2.520800000000000000e+04
2.018826923076923094e+03	1.838800000000000000e+04	2.794400000000000000e+04
2.018846153846153811e+03	1.381400000000000000e+04	2.119000000000000000e+04
2.018865384615384528e+03	1.367800000000000000e+04	2.134600000000000000e+04
2.018884615384615472e+03	1.446800000000000000e+04	2.252000000000000000e+04
2.018903846153846189e+03	1.447400000000000000e+04	2.211400000000000000e+04
2.018923076923076906e+03	8.648000000000000000e+03	1.358400000000000000e+04
2.018942307692307622e+03	1.093000000000000000e+04	1.747000000000000000e+04
2.018961538461538566e+03	1.133400000000000000e+04	1.834800000000000000e+04
2.018980769230769283e+03	1.049000000000000000e+04	1.643800000000000000e+04
2.019000000000000000e+03	8.456000000000000000e+03	1.354800000000000000e+04
2.019019230769230717e+03	4.430000000000000000e+03	5.762000000000000000e+03
2.019038461538461434e+03	7.906000000000000000e+03	1.139200000000000000e+04
2.019057692307692378e+03	1.380600000000000000e+04	2.019400000000000000e+04
2.019076923076923094e+03	1.367800000000000000e+04	2.168800000000000000e+04
2.019096153846153811e+03	1.289600000000000000e+04	1.951000000000000000e+04
2.019115384615384528e+03	1.528800000000000000e+04	2.545400000000000000e+04
2.019134615384615472e+03	2.542000000000000000e+03	4.216000000000000000e+03
2.019153846153846189e+03	3.182000000000000000e+03	5.062000000000000000e+03
2.019173076923076906e+03	8.578000000000000000e+03	1.348600000000000000e+04
2.019192307692307622e+03	1.291600000000000000e+04	1.911000000000000000e+04
2.019211538461538566e+03	1.158000000000000000e+04	1.728400000000000000e+04
2.019230769230769283e+03	1.451200000000000000e+04	2.186800000000000000e+04
2.019250000000000000e+03	1.923400000000000000e+04	3.007800000000000000e+04
2.019269230769230717e+03	1.850600000000000000e+04	2.703000000000000000e+04
2.019288461538461434e+03	1.566600000000000000e+04	2.500400000000000000e+04
2.019307692307692378e+03	1.245600000000000000e+04	1.919400000000000000e+04
2.019326923076923094e+03	1.534600000000000000e+04	2.372000000000000000e+04
2.019346153846153811e+03	1.798000000000000000e+04	2.761000000000000000e+04
2.019365384615384528e+03	2.237000000000000000e+04	3.405800000000000000e+04
2.019384615384615472e+03	2.524800000000000000e+04	3.803600000000000000e+04
2.019403846153846189e+03	2.077800000000000000e+04	3.102400000000000000e+04
2.019423076923076906e+03	2.120000000000000000e+04	3.278800000000000000e+04
2.019442307692307622e+03	2.619600000000000000e+04	3.748000000000000000e+04
2.019461538461538566e+03	2.409800000000000000e+04	3.691600000000000000e+04
2.019480769230769283e+03	2.744000000000000000e+04	4.392800000000000000e+04
2.019500000000000000e+03	2.226000000000000000e+04	3.529200000000000000e+04
2.019519230769230717e+03	2.444400000000000000e+04	3.860200000000000000e+04
2.019538461538461434e+03	1.971400000000000000e+04	3.011200000000000000e+04
2.019557692307692378e+03	2.308800000000000000e+04	3.667600000000000000e+04
2.019576923076923094e+03	2.338400000000000000e+04	3.687000000000000000e+04
2.019596153846153811e+03	2.699400000000000000e+04	4.302600000000000000e+04
2.019615384615384528e+03	2.649800000000000000e+04	4.256200000000000000e+04
2.019634615384615472e+03	2.409800000000000000e+04	4.332200000000000000e+04
2.019653846153846189e+03	2.519000000000000000e+04	4.253800000000000000e+04
2.019673076923076906e+03	2.146600000000000000e+04	3.683800000000000000e+04
2.019692307692307622e+03	2.300400000000000000e+04	3.978400000000000000e+04
2.019711538461538566e+03	2.186400000000000000e+04	3.524400000000000000e+04
2.019730769230769283e+03	1.897800000000000000e+04	3.268800000000000000e+04
2.019750000000000000e+03	1.819200000000000000e+04	3.220600000000000000e+04
2.019769230769230717e+03	1.818800000000000000e+04	3.206800000000000000e+04
2.019788461538461434e+03	1.957000000000000000e+04	3.497000000000000000e+04
2.019807692307692378e+03	1.708600000000000000e+04	2.990400000000000000e+04
2.019826923076923094e+03	1.367000000000000000e+04	2.499400000000000000e+04
2.019846153846153811e+03	1.617800000000000000e+04	2.950400000000000000e+04
2.019865384615384528e+03	1.713000000000000000e+04	3.092400000000000000e+04
2.019884615384615472e+03	1.630000000000000000e+04	3.106400000000000000e+04
2.019903846153846189e+03	1.391400000000000000e+04	2.671600000000000000e+04
2.019923076923076906e+03	1.463600000000000000e+04	2.795000000000000000e+04
2.019942307692307622e+03	9.694000000000000000e+03	1.676000000000000000e+04
2.019961538461538566e+03	1.294200000000000000e+04	2.459000000000000000e+04
2.019980769230769283e+03	1.178000000000000000e+04	2.263400000000000000e+04
2.020000000000000000e+03	9.856000000000000000e+03	1.959000000000000000e+04
2.020019230769230717e+03	5.104000000000000000e+03	8.338000000000000000e+03
2.020038461538461434e+03	7.194000000000000000e+03	1.268800000000000000e+04
2.020057692307692378e+03	1.028200000000000000e+04	1.998200000000000000e+04
2.020076923076923094e+03	6.458000000000000000e+03	1.178800000000000000e+04
2.020096153846153811e+03	9.514000000000000000e+03	1.837800000000000000e+04
2.020115384615384528e+03	1.072400000000000000e+04	2.047000000000000000e+04
2.020134615384615472e+03	1.056200000000000000e+04	1.961600000000000000e+04
2.020153846153846189e+03	1.233200000000000000e+04	2.420600000000000000e+04
2.020173076923076906e+03	1.220200000000000000e+04	2.354600000000000000e+04
