Year	Fremont Bridge East Sidewalk	Fremont Bridge West Sidewalk
2.020192307692307622e+03	1.403000000000000000e+04	2.742400000000000000e+04
2.020211538461538566e+03	1.163200000000000000e+04	2.168200000000000000e+04
2.020230769230769283e+03	9.346000000000000000e+03	1.466200000000000000e+04
2.020250000000000000e+03	1.405600000000000000e+04	1.759600000000000000e+04
2.020269230769230717e+03	5.931000000000000000e+03	7.157000000000000000e+03
2.020288461538461434e+03	9.576000000000000000e+03	1.088000000000000000e+04
2.020307692307692378e+03	1.632000000000000000e+04	1.811400000000000000e+04
2.020326923076923094e+03	1.673200000000000000e+04	1.788800000000000000e+04
2.020346153846153811e+03	1.281600000000000000e+04	1.452800000000000000e+04
2.020365384615384528e+03	1.060100000000000000e+04	1.212000000000000000e+04
2.020384615384615472e+03	8.847000000000000000e+03	9.962000000000000000e+03
2.020403846153846189e+03	7.148000000000000000e+03	8.132000000000000000e+03
2.020423076923076906e+03	7.424000000000000000e+03	8.894000000000000000e+03
2.020442307692307622e+03	6.912000000000000000e+03	8.304000000000000000e+03
2.020461538461538566e+03	7.867000000000000000e+03	9.894000000000000000e+03
2.020480769230769283e+03	6.832000000000000000e+03	8.635000000000000000e+03
2.020500000000000000e+03	8.163000000000000000e+03	1.042500000000000000e+04
2.020519230769230717e+03	8.354000000000000000e+03	1.116500000000000000e+04
2.020538461538461434e+03	7.047000000000000000e+03	9.556000000000000000e+03
2.020557692307692378e+03	7.965000000000000000e+03	1.091300000000000000e+04
2.020576923076923094e+03	9.399000000000000000e+03	1.213400000000000000e+04
2.020596153846153811e+03	9.028000000000000000e+03	1.185300000000000000e+04
2.020615384615384528e+03	9.137000000000000000e+03	1.199500000000000000e+04
2.020634615384615472e+03	8.150000000000000000e+03	1.124900000000000000e+04
2.020653846153846189e+03	8.933000000000000000e+03	1.142100000000000000e+04
2.020673076923076906e+03	8.151000000000000000e+03	1.104800000000000000e+04
2.020692307692307622e+03	8.721000000000000000e+03	1.186800000000000000e+04
2.020711538461538566e+03	1.013000000000000000e+03	1.399000000000000000e+03
